MLA-C01 • DOMAIN 2,DỊCH VỤ & CÔNG CỤ,Choose • Train • Customize • Evaluate,,,,,,,,,,,,,
62 mục • 16 cột,Định nghĩa EN/VI + chi tiết,Task 2.1–2.3 • Mới: 2.3,,,,,,,,,,,,,
Keyword cần nhớ: cột B,Lợi ích / ví dụ / điều kiện,Analyze / Evaluate: +8 mục • mở rộng 5,,,,,,,,,,,,,
Đối chiếu: 15/09/2026,Nguồn: O • Có ghi phạm vi,Đã tổng hợp bốn module D2 theo nguồn đã mở.,,,,,,,,,,,,,
Key / Dịch vụ hoặc công cụ,Keyword cần nhớ,Definition (EN),Định nghĩa (VI),Benefits / Lợi ích chi tiết,Cơ chế / Quy trình,Use cases / Khi nào dùng,Ví dụ minh họa,Phân biệt / Điều kiện / Lưu ý,Loại,Domain,Task,Nhóm chủ đề,Phạm vi nguồn,Nguồn tham khảo,Ngày đối chiếu
Hugging Face PEFT — LoRA,"• FROZEN BASE
• TRAINABLE ADAPTERS
• RANK / TARGET MODULES","Hugging Face PEFT provides methods for adapting pretrained models while training only a limited set of additional or selected parameters. LoRA represents adaptation through trainable low-rank updates to selected model layers while keeping the base weights frozen in the usual setup. This reduces trainable parameters and optimizer-state requirements, but deployment must retain the compatible base model, adapter and tokenizer configuration.","Hugging Face PEFT cung cấp phương pháp điều chỉnh model pretrained bằng cách chỉ training một tập tham số bổ sung hoặc được chọn có giới hạn. LoRA biểu diễn phần điều chỉnh bằng cập nhật hạng thấp có thể học ở những layer được chọn, trong khi đóng băng trọng số base theo cấu hình thông thường. Cơ chế giảm số tham số train và bộ nhớ optimizer state, nhưng deployment phải giữ đúng base model, adapter và cấu hình tokenizer tương thích.","Giảm trainable parameters và optimizer state so với full tuning.
Adapter nhỏ giúp lưu nhiều adaptations.
Có thể dùng cùng training workflow của framework trên SageMaker.","Chọn base tương thích → cấu hình LoRA (rank, target modules và tham số liên quan) → gắn adapter → train → lưu base identity + adapter + tokenizer/config → đánh giá.",Muốn kiểm soát triển khai LoRA bằng code thay vì chỉ chọn job dịch vụ có sẵn.,Brand-voice tuning trên model hỗ trợ; tinh chỉnh rank và learning rate theo validation.,Đây là mapping công cụ bổ sung cho khái niệm LoRA trong bài. Không phải mọi Bedrock fine-tune job expose LoRA knobs. Adapter không tự chứa đủ base model; giảm training cost không tự giảm serving model size.,Third-party fine-tuning library,Domain 2,2.2,PEFT implementation • Bổ sung,Bổ sung Domain 2,https://huggingface.co/docs/peft/main/en/conceptual_guides/lora,15/09/2026
Amazon Bedrock Model Distillation,"• TEACHER → STUDENT
• MANAGED DATA SYNTHESIS
• LOWER INFERENCE COST / LATENCY","Amazon Bedrock Model Distillation is a managed workflow that uses a supported teacher model to generate training responses and customize a supported student model. The goal is to transfer task-relevant behavior into a smaller or more efficient model with acceptable quality, reducing manual orchestration of teacher-data generation and student training. Supported model pairs, data requirements and student serving options must be verified and evaluated.","Amazon Bedrock Model Distillation là workflow được quản lý sử dụng teacher model được hỗ trợ để tạo phản hồi training và tùy chỉnh student model được hỗ trợ. Mục tiêu là chuyển hành vi phù hợp tác vụ sang model nhỏ hơn hoặc hiệu quả hơn với chất lượng chấp nhận được, giảm công điều phối thủ công việc sinh dữ liệu teacher và training student. Cần xác nhận cặp model, yêu cầu dữ liệu, lựa chọn serving student và đánh giá kết quả.","Tự động hóa nhiều bước sinh teacher responses và train student.
Hướng đến chất lượng phù hợp task với model nhỏ/chạy nhanh hơn.
Giảm công ghép thủ công pipeline distillation.",Chọn cặp teacher/student và Region được hỗ trợ → chuẩn bị prompts hoặc invocation data phù hợp → cấu hình S3/IAM → tạo job → đánh giá student trước chọn serving option.,Large FM tốt nhưng quá chậm/đắt ở production volume; cần student đạt quality bar.,Teacher viết mô tả sản phẩm chất lượng; student được train cho cùng task để giảm latency.,Không phải mọi cặp model đều hỗ trợ; kiểm tra bảng hiện hành thay vì suy từ hãng. Không dùng % tiết kiệm quảng bá làm bảo đảm cho workload. Chi phí data generation/training và hosting vẫn phải tính.,Managed Bedrock capability,Domain 2,2.2,Distillation,Skill Builder,"https://skillbuilder.aws/learn/2QQTWU7W75/aws-ml-engineer-associate--customize-and-fine-tune-models/GCXKCRD7RD
https://docs.aws.amazon.com/bedrock/latest/userguide/model-distillation.html
https://docs.aws.amazon.com/bedrock/latest/userguide/prequisites-model-distillation.html",15/09/2026
SageMaker AI training metrics,"• TRAIN + VALIDATION CURVES
• CLOUDWATCH LOGS
• GENERALIZATION SIGNALS","SageMaker training metrics are numerical signals emitted by supported algorithms or extracted from custom training logs to monitor learning behavior. They can track quantities such as training and validation loss across steps or epochs and support experiment comparison, tuning objectives and diagnosis. Metric names and extraction rules must match the code, and curves should be interpreted with data and tensor evidence rather than assuming that a completed job has learned successfully.","Training metric SageMaker là tín hiệu số được thuật toán hỗ trợ xuất ra hoặc được trích từ log training tùy chỉnh để theo dõi quá trình học. Metric có thể ghi nhận training loss, validation loss qua step hoặc epoch, hỗ trợ so sánh thử nghiệm, objective tuning và chẩn đoán. Tên metric, quy tắc trích xuất phải khớp mã; learning curve cần được diễn giải cùng bằng chứng dữ liệu, tensor, không mặc định job hoàn tất là đã học thành công.","Giúp nhận diện validation xấu đi trong khi train cải thiện.
Hỗ trợ so runs/configurations và điều tra convergence.
Tận dụng metrics từ built-ins hoặc custom logs.
Analyze/Evaluate dùng curves để phân biệt loss plateau, divergence và generalization gap; kết hợp gradient/tensor evidence khi cần tìm nguyên nhân.",Built-in xuất các metrics đã hỗ trợ; custom script emit metric và cấu hình name/regex phù hợp → theo dõi theo epoch/step trong công cụ hỗ trợ → liên hệ với checkpoints và quyết định tune.,"Theo dõi train/validation khi sửa overfit, underfit hoặc chọn cấu hình.","Train loss giảm đều, val_loss có đáy rồi tăng → kiểm tra overfit và best checkpoint.","Có log/graph không có nghĩa job tự dừng hoặc tự restore best weights. Cần callback/AMT config riêng; metric đúng tên, hướng min/max và split mới có ý nghĩa.
Train loss ổn định chưa chắc đạt global minimum hoặc metric nghiệp vụ. Chỉ số vận hành như duration/GPU utilization khác chỉ số hội tụ và chất lượng dự đoán.",SageMaker observability capability,Domain 2,2.2,Training diagnostics,Skill Builder,"https://skillbuilder.aws/learn/2QQTWU7W75/aws-ml-engineer-associate--customize-and-fine-tune-models/GCXKCRD7RD
https://docs.aws.amazon.com/sagemaker/latest/dg/training-metrics.html
https://skillbuilder.aws/learn/Q6PN4F1E2G/aws-ml-engineer-associate--analyze-and-evaluate-performance/CHBEW6A7NZ",15/09/2026
Managed MLflow on Amazon SageMaker AI,"• EXPERIMENT TRACKING
• RUN COMPARISON
• PARAMS + METRICS + ARTIFACTS","Managed MLflow on Amazon SageMaker AI provides managed experiment-tracking capabilities for recording and comparing model-development runs. Teams log parameters, metrics, artifacts and relevant data or code references so candidate results remain connected to the configuration that produced them. It reduces tracking-server operations, but reproducibility still requires the team to actually version and preserve the necessary inputs and artifacts.","Managed MLflow trên Amazon SageMaker AI cung cấp khả năng theo dõi thử nghiệm được quản lý để ghi nhận, so sánh các run phát triển model. Nhóm lưu parameter, metric, artifact và tham chiếu dữ liệu hoặc mã liên quan để kết quả candidate luôn gắn với cấu hình tạo ra chúng. Dịch vụ giảm công vận hành tracking server, nhưng khả năng tái lập vẫn đòi hỏi nhóm thực sự quản lý phiên bản, lưu giữ input và artifact cần thiết.",Giúp so nhiều runs theo metrics và hyperparameters; giữ liên hệ configuration với artifact để chọn candidate và điều tra kết quả. Giảm công tự vận hành tracking infrastructure; tạo lịch sử thử nghiệm có thể tra cứu.,"Tạo experiment/run → log parameters, metrics và artifacts/data-code references cần thiết → so runs trong UI → chọn candidate theo evaluation criteria. S3 lưu artifact theo cấu hình; dữ liệu chỉ được truy lại nếu đã lưu/version đúng.","Thử nhiều thuật toán hoặc cấu hình, cần giải thích model nào tốt hơn và tái chạy thí nghiệm.","Walkthrough log logistic regression, random forest, gradient boosting cùng hyperparameters, duration và classification metrics.","Tracking không tự tạo split đúng, tự lưu toàn bộ environment hoặc bảo đảm bitwise reproducibility. Model được đăng ký cũng chưa đồng nghĩa được deploy; chọn model theo metric nghiệp vụ thay vì chỉ run mới nhất.",Managed experiment tracking,Domain 2,2.3,Reproducibility,Skill Builder,"https://skillbuilder.aws/learn/Q6PN4F1E2G/aws-ml-engineer-associate--analyze-and-evaluate-performance/CHBEW6A7NZ
https://docs.aws.amazon.com/sagemaker/latest/dg/mlflow.html",15/09/2026
Amazon SageMaker Clarify,"• SHAP EXPLAINABILITY
• LOCAL + GLOBAL
• BIAS ANALYSIS","Amazon SageMaker Clarify provides model explainability and bias-analysis capabilities that help teams examine predictions and differences between relevant groups. Configured analyses can produce local feature attributions for individual predictions and global summaries across data, using an appropriate baseline and analysis method. These explanations support investigation of reliance, proxies or leakage, but feature attribution is not by itself proof of causality or fairness.","Amazon SageMaker Clarify cung cấp khả năng giải thích model và phân tích bias, giúp nhóm xem xét dự đoán cùng khác biệt giữa các nhóm cần quan tâm. Phân tích được cấu hình có thể tạo đóng góp feature cục bộ cho từng dự đoán và tổng hợp toàn cục trên dữ liệu, dùng baseline, phương pháp phù hợp. Giải thích hỗ trợ điều tra sự phụ thuộc, proxy hoặc leakage, nhưng feature attribution tự nó không chứng minh quan hệ nhân quả hay tính công bằng.","Giúp hiểu feature nào tác động dự đoán ở từng mẫu và toàn tập; hỗ trợ kiểm tra reliance bất thường, leakage hoặc proxy cùng các phân tích fairness thích hợp.",Chuẩn bị model/data và baseline phù hợp → cấu hình analysis → chạy processing analysis → xem local attributions và báo cáo global; đối chiếu kết quả với domain knowledge và nhóm dữ liệu.,"Giải thích model fraud, xem top features; điều tra vì sao một prediction khác baseline.","Relative transaction amount, recency và merchant risk ảnh hưởng fraud score; dùng local SHAP để giải thích giao dịch cụ thể.",SHAP không chứng minh causal effect hoặc model công bằng. Global mặc định mean_abs trong Clarify; không lấy signed mean rồi kết luận feature không ảnh hưởng. Chi phí và giới hạn phụ thuộc dữ liệu/phương pháp cấu hình.,Explainability and bias capability,Domain 2,2.3,Explainability,Skill Builder,"https://skillbuilder.aws/learn/Q6PN4F1E2G/aws-ml-engineer-associate--analyze-and-evaluate-performance/CHBEW6A7NZ
https://docs.aws.amazon.com/sagemaker/latest/dg/clarify-processing-job-configure-analysis.html
https://docs.aws.amazon.com/sagemaker/latest/dg/clarify-processing-job-analysis-results.html",15/09/2026
Amazon SageMaker Debugger,"• TRAINING TENSORS
• NON-CONVERGENCE
• GRADIENT DIAGNOSTICS","Amazon SageMaker Debugger inspects supported training tensors and learning signals and evaluates configured rules for selected training problems. Teams use captured data and rule results to investigate issues such as non-convergence, vanishing gradients or overfitting rather than only observing whether a job is running. Collection settings, framework compatibility and application instrumentation determine the evidence available, and corrective changes must be validated with a subsequent evaluation.","Amazon SageMaker Debugger kiểm tra tensor và tín hiệu học được hỗ trợ trong training, đồng thời đánh giá các rule đã cấu hình cho một số vấn đề training. Nhóm dùng dữ liệu thu được, kết quả rule để điều tra non-convergence, vanishing gradient hoặc overfitting thay vì chỉ xem job có đang chạy. Cấu hình collection, tính tương thích framework và instrumentation của ứng dụng quyết định bằng chứng khả dụng; thay đổi khắc phục phải được kiểm định bằng lần đánh giá tiếp theo.","Hỗ trợ tìm nguyên nhân non-convergence, vanishing gradients hoặc dấu hiệu overfit thay vì chỉ thấy job đang chạy. Các rules và visualizations giúp khoanh vùng vấn đề cần sửa.","Cấu hình collection/rules tương thích với training code/framework → chạy job → xem tensors, metrics và kết quả rule → điều chỉnh nguyên nhân → đánh giá lại.",Câu hỏi Task 2.3 cần công cụ điều tra model không hội tụ ở quá trình training.,Loss chững kèm gradient rất nhỏ; xem tín hiệu theo layer để phân biệt vấn đề gradient với chỉ thiếu epochs.,Đối chiếu docs15/09/2026: không mở cho khách hàng mới; khách hàng hiện hữu tiếp tục dùng. Giữ kiến thức nhận diện dịch vụ cho nội dung thi/bài học; khi triển khai thật kiểm tra availability và framework/version hỗ trợ. Rule không tự bảo đảm model đạt chất lượng.,Training diagnostics capability,Domain 2,2.3,Convergence diagnostics,Bổ sung Domain 2,"https://docs.aws.amazon.com/aws-certification/latest/machine-learning-engineer-associate-01/machine-learning-engineer-associate-01-domain2.html
https://docs.aws.amazon.com/sagemaker/latest/dg/train-debugger.html",15/09/2026
Amazon SageMaker Model Monitor,"• PRODUCTION QUALITY
• BASELINE COMPARISON
• DRIFT SIGNALS","Amazon SageMaker Model Monitor evaluates captured model-related data against configured baselines and constraints through supported monitoring workflows. Capabilities cover areas such as data quality, model quality, bias and feature-attribution drift, producing metrics or violations for investigation. Monitoring requires appropriate capture and scheduling, and supervised model-quality evaluation needs correctly matched ground-truth labels rather than relying on prediction outputs alone.","Amazon SageMaker Model Monitor đánh giá dữ liệu liên quan model đã thu thập so với baseline, constraint được cấu hình qua workflow giám sát được hỗ trợ. Các khả năng bao gồm chất lượng dữ liệu, chất lượng model, bias và feature-attribution drift, tạo metric hoặc vi phạm để điều tra. Monitoring cần capture, lịch chạy phù hợp; đánh giá chất lượng model có giám sát cần ground-truth label được ghép đúng, không thể chỉ dựa vào output dự đoán.","Giúp phát hiện sự lệch so tham chiếu để điều tra sớm; có các nhóm data quality, model quality, bias và feature attribution drift theo cấu hình phù hợp.",Tạo baseline → capture inputs/outputs cần thiết → chạy monitoring theo lịch → xem violations/metrics; model-quality analysis cần ground truth được ghép đúng khi đánh giá supervised performance.,Nối performance baseline của D2 với theo dõi model sau triển khai; vận hành chi tiết thuộc D4.,"Input distribution đổi tạo data-quality signal; accuracy giảm phải có ground-truth comparison, không tự suy từ input histogram.","Docs15/09/2026: không mở cho khách hàng mới; khách hàng hiện hữu vẫn dùng. Drift alarm chưa chứng minh concept drift hoặc bắt buộc retrain; điều tra pipeline, sampling và labels trước.",Production monitoring capability,Domain 2,2.3,Baselines and drift,Skill Builder,"https://skillbuilder.aws/learn/Q6PN4F1E2G/aws-ml-engineer-associate--analyze-and-evaluate-performance/CHBEW6A7NZ
https://docs.aws.amazon.com/sagemaker/latest/dg/model-monitor.html",15/09/2026
Amazon CloudWatch — evaluation metrics and alarms,"• METRICS + LOGS
• VARIANT COMPARISON
• THRESHOLD ALARMS","Amazon CloudWatch collects operational metrics and logs and provides dashboards and alarms for evaluating how an ML system behaves while it runs. Teams can compare invocation counts, latency, errors and published custom metrics across configurations or serving variants using appropriate dimensions and statistics. It complements model-quality evaluation with operational evidence, but cannot infer supervised accuracy without the labels and calculations required to produce that metric.","Amazon CloudWatch thu thập metric, log vận hành và cung cấp dashboard, alarm để đánh giá hành vi hệ thống ML khi chạy. Nhóm có thể so sánh số lần gọi, latency, lỗi và metric tùy chỉnh đã xuất giữa cấu hình hoặc serving variant bằng dimension, thống kê phù hợp. CloudWatch bổ sung bằng chứng vận hành cho đánh giá chất lượng model, nhưng không thể suy ra accuracy có giám sát nếu thiếu nhãn và phép tính tạo metric đó.","Giúp nhìn latency, errors, invocations và các custom metrics đã xuất; so variant theo thời gian và nhận cảnh báo khi metric vượt ngưỡng. Hữu ích để kết hợp quality evidence với khả năng vận hành.",Model/service xuất metric/log → chọn dimensions và statistic phù hợp → quan sát dashboard hoặc đặt alarm → điều tra khi có thay đổi.,So A/B/shadow latency hoặc theo dõi tín hiệu baseline drift do công cụ phân tích phát ra.,Candidate latency cao hơn production dù offline F1 tốt → cần xem cả chất lượng và giới hạn phục vụ trước khi chọn.,CloudWatch không tự biết ground-truth labels và không tự tính mọi precision/recall nếu chưa cung cấp dữ liệu/metric. Số invocations cao không có nghĩa accuracy cao; alarm là tín hiệu điều tra.,Observability service,Domain 2,2.3,Online evaluation,Skill Builder,https://skillbuilder.aws/learn/Q6PN4F1E2G/aws-ml-engineer-associate--analyze-and-evaluate-performance/CHBEW6A7NZ,15/09/2026
Amazon Bedrock Prompt management,"• PROMPT VERSIONS
• REUSABLE VARIABLES
• COMPARE VARIANTS","Amazon Bedrock Prompt management stores reusable prompts, variables, variants and versions together with associated model or inference settings. Teams can supply test inputs, compare prompt alternatives and retain the version selected for evaluation or application integration. It makes prompt changes traceable and reusable, but effective instructions and response quality must still be evaluated on representative tasks rather than inferred from versioning alone.","Amazon Bedrock Prompt management lưu prompt tái sử dụng, biến, variant và version cùng model hoặc inference setting liên quan. Nhóm có thể đưa test input, so sánh các prompt và giữ lại phiên bản được chọn để đánh giá hay tích hợp ứng dụng. Công cụ giúp thay đổi prompt có thể truy vết, tái sử dụng, nhưng hiệu quả chỉ dẫn và chất lượng phản hồi vẫn phải được đánh giá trên tác vụ đại diện, không thể suy ra chỉ từ việc quản lý phiên bản.","Giảm thất lạc prompt khi thử nghiệm, giúp tái sử dụng template có variables và liên hệ kết quả với cấu hình prompt cụ thể. Hỗ trợ so variants trước khi chọn bản dùng trong ứng dụng.",Tạo prompt/variables → chọn model và inference settings → điền test inputs và so variants → lưu version → dùng version đã chọn khi đánh giá hoặc tích hợp.,Tối ưu system prompt cho grounded responses và giữ evidence phiên bản khi so trước/sau.,Prompt v1 cho phép suy diễn; v2 yêu cầu chỉ dùng evidence và thừa nhận khi thiếu → so faithfulness trên cùng evaluation set.,"Versioned prompt không thay thế evaluation job hoặc lưu toàn bộ raw responses. Ghi thêm model, dataset, retrieval context và evaluator/rubric để so kết quả có ý nghĩa.",Prompt lifecycle capability,Domain 2,2.3,Reproducibility,Skill Builder,"https://skillbuilder.aws/learn/Q6PN4F1E2G/aws-ml-engineer-associate--analyze-and-evaluate-performance/CHBEW6A7NZ
https://docs.aws.amazon.com/bedrock/latest/userguide/prompt-management.html",15/09/2026
SageMaker production variants,"• LIVE TRAFFIC WEIGHTS
• SERVED RESPONSES
• A/B COMPARISON","SageMaker production variants are serving configurations within an endpoint that can route real inference requests to different models or model-serving setups. Configured traffic weights or supported explicit routing determine which variant handles a request, allowing teams to compare operational and business outcomes under live traffic. Unlike shadow variants, production-variant outputs are returned to callers and can affect the user experience.","Production variant SageMaker là cấu hình phục vụ trong endpoint có thể định tuyến request inference thật đến các model hoặc cách cấu hình serving khác nhau. Traffic weight được cấu hình hay cơ chế định tuyến tường minh được hỗ trợ quyết định variant xử lý request, giúp so sánh kết quả vận hành, nghiệp vụ trên traffic thực. Khác shadow variant, output của production variant được trả cho caller và có thể tác động trải nghiệm người dùng.",Cho so models hoặc serving configurations bằng requests thật; điều chỉnh traffic phân bổ để đo khác biệt quality/business và operational performance.,Chuẩn bị candidate variants → cấu hình endpoint/weights → phục vụ requests theo routing → thu metrics và outcomes theo variant → đánh giá candidate.,"Thử candidate mà người dùng thực sự nhận response, cần đo tác động sử dụng thực tế.","A=90%,B=10%; quality và latency của B được đánh giá trước khi cân nhắc thay tỷ trọng.",Tránh nhầm với shadow: production response được trả cho caller. Traffic routing theo weight không tự là một thiết kế A/B hoàn chỉnh cho mọi bài toán hành vi hoặc session consistency.,SageMaker inference capability,Domain 2,2.3,Online evaluation,Skill Builder,"https://skillbuilder.aws/learn/Q6PN4F1E2G/aws-ml-engineer-associate--analyze-and-evaluate-performance/CHBEW6A7NZ
https://docs.aws.amazon.com/sagemaker/latest/dg/model-ab-testing.html",15/09/2026
SageMaker shadow variants / shadow tests,"• COPY PRODUCTION REQUESTS
• HIDDEN CANDIDATE OUTPUT
• OFFLINE COMPARISON","SageMaker shadow variants and shadow tests evaluate candidate serving configurations by copying selected live requests to a shadow deployment while production continues serving the caller. The shadow's outputs are withheld from the application, and collected metrics or saved predictions can be compared afterward. This tests behavior on realistic traffic before promotion, but mirrored requests alone do not measure the business impact of actually showing candidate outputs to users.","Shadow variant và shadow test SageMaker đánh giá cấu hình serving candidate bằng cách sao chép request thật được chọn tới shadow deployment trong khi production tiếp tục phục vụ caller. Output shadow không được trả cho ứng dụng; metric thu thập hoặc dự đoán được lưu có thể dùng để so sánh sau đó. Cơ chế kiểm thử trên traffic thực tế trước promotion, nhưng chỉ mirror request chưa đo được tác động nghiệp vụ khi thật sự cho người dùng thấy output candidate.",Đánh giá model/instance mới trên workload thật trước khi chuyển sang phục vụ; có thể lưu output để so offline và quan sát performance.,"Chọn production variant tham chiếu → cấu hình candidate/shadow test và phạm vi traffic/thời gian → mirror requests → xem metrics/outputs đã log → quyết định giữ, sửa hoặc promote.",Kiểm tra performance candidate mà chưa cho response của candidate tác động trực tiếp đến câu trả lời cho người dùng.,"Model B có latency tốt, ít errors và quality đạt khi đối chiếu labels → cân nhắc bước promote sau đánh giá.",Không dùng shadow để kết luận user conversion do candidate gây ra. Supported endpoint features có giới hạn; docs nêu không dùng với serverless/async/multi-model trong shadow tests. Có chi phí candidate compute.,SageMaker inference validation capability,Domain 2,2.3,Online evaluation,Skill Builder,"https://skillbuilder.aws/learn/Q6PN4F1E2G/aws-ml-engineer-associate--analyze-and-evaluate-performance/CHBEW6A7NZ
https://docs.aws.amazon.com/sagemaker/latest/dg/shadow-tests.html",15/09/2026
